index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,team_in_possession_id,attacking_side,team_in_possession_shortname,n_player_possessions_in_phase,team_possession_loss_in_phase,team_possession_lead_to_goal,team_possession_lead_to_shot,team_in_possession_phase_type,team_in_possession_phase_type_id,team_out_of_possession_phase_type,team_out_of_possession_phase_type_id,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,team_in_possession_width_start,team_in_possession_width_end,team_in_possession_length_start,team_in_possession_length_end,team_out_of_possession_width_start,team_out_of_possession_width_end,team_out_of_possession_length_start,team_out_of_possession_length_end
20,2015180,3994,4021,02:23.4,02:26.1,2,23,2.7,1,2,1805,right_to_left,Newcastle,1,True,False,False,chaotic,5,chaotic,5,-2.01,26.58,1,wide_left,2,middle_third,False,5.04,24.64,1,wide_left,2,middle_third,False,43.51,40.72,49.24,59.16,51.19,37.25,52.76,52.99
21,2015180,4021,4074,02:26.1,02:31.4,2,26,5.3,1,1,868,left_to_right,Melbourne V FC,3,True,False,False,chaotic,5,chaotic,5,-4.65,-25.01,5,wide_right,2,middle_third,False,6.28,-10.66,4,half_space_right,2,middle_third,False,36.84,32.97,53.01,49.07,40.51,36.22,59.38,55.44
22,2015180,4074,4124,02:31.4,02:36.4,2,31,5.0,1,2,1805,right_to_left,Newcastle,3,False,False,True,create,1,medium_block,9,-5.81,10.58,2,half_space_left,2,middle_third,False,10.95,-3.7,3,center,2,middle_third,False,36.13,38.77,55.24,58.16,33.24,32.94,48.93,46.65
23,2015180,4124,4246,02:36.4,02:48.6,2,36,12.2,1,2,1805,right_to_left,Newcastle,4,True,False,True,finish,2,low_block,8,10.98,-4.04,3,center,2,middle_third,False,26.49,-27.09,5,wide_right,3,attacking_third,False,39.04,39.12,58.38,73.33,33.13,33.76,46.56,36.7
24,2015180,4246,4284,02:48.6,02:52.4,2,48,3.8,1,1,868,left_to_right,Melbourne V FC,2,False,False,False,build_up,0,high_block,10,-26.32,27.27,1,wide_left,1,defensive_third,False,-20.25,20.28,1,wide_left,1,defensive_third,False,33.76,38.16,36.62,37.23,39.11,34.09,73.47,69.52
25,2015180,4284,4393,02:52.4,03:03.3,2,52,10.9,1,1,868,left_to_right,Melbourne V FC,5,False,False,False,create,1,medium_block,9,-19.91,20.54,1,wide_left,1,defensive_third,False,21.19,-15.89,4,half_space_right,3,attacking_third,False,38.36,47.55,37.29,58.51,33.94,35.04,69.34,43.21
26,2015180,4393,4726,03:03.3,03:36.6,3,3,33.3,1,1,868,left_to_right,Melbourne V FC,15,True,False,False,finish,2,low_block,8,21.65,-16.17,4,half_space_right,3,attacking_third,False,43.09,-7.36,3,center,3,attacking_third,True,47.63,42.33,58.89,70.1,34.82,26.03,42.98,25.44
27,2015180,4726,4761,03:36.6,03:40.1,3,36,3.5,1,2,1805,right_to_left,Newcastle,1,True,False,False,chaotic,5,chaotic,5,-42.59,7.77,3,center,1,defensive_third,False,-36.83,34.46,1,wide_left,1,defensive_third,False,26.05,28.64,25.53,27.53,42.21,41.06,70.26,65.3
28,2015180,4897,4997,03:53.7,04:03.7,3,53,10.0,1,1,868,left_to_right,Melbourne V FC,6,True,False,True,finish,2,low_block,8,27.53,-33.2,5,wide_right,3,attacking_third,False,50.42,-6.46,3,center,3,attacking_third,True,37.56,28.03,63.63,67.43,31.5,27.85,29.69,20.54
29,2015180,5215,5228,04:25.5,04:26.8,4,25,1.3,1,2,1805,right_to_left,Newcastle,1,True,False,False,create,1,medium_block,9,,,2,half_space_left,2,middle_third,False,24.93,4.16,3,center,3,attacking_third,False,,50.77,,61.97,,30.21,,52.29
30,2015180,5228,5233,04:26.8,04:27.3,4,26,0.5,1,1,868,left_to_right,Melbourne V FC,1,False,False,False,chaotic,5,chaotic,5,-25.41,-3.88,3,center,1,defensive_third,False,-27.15,-3.29,3,center,1,defensive_third,False,30.29,30.72,51.78,49.97,50.47,49.49,62.55,64.66
31,2015180,5233,5269,04:27.3,04:30.9,4,27,3.6,1,1,868,left_to_right,Melbourne V FC,1,True,False,False,direct,6,defending_direct,15,-27.23,-3.3,3,center,1,defensive_third,False,6.08,1.82,3,center,2,middle_third,False,30.98,31.88,49.57,50.28,49.24,42.48,65.12,64.52
32,2015180,5269,5311,04:30.9,04:35.1,4,30,4.2,1,2,1805,right_to_left,Newcastle,2,True,False,False,chaotic,5,chaotic,5,-6.55,-1.5,3,center,2,middle_third,False,6.02,4.99,3,center,2,middle_third,False,42.37,41.7,64.32,57.67,32.0,32.56,50.25,49.68
33,2015180,5311,5483,04:35.1,04:52.3,4,35,17.2,1,1,868,left_to_right,Melbourne V FC,10,False,False,False,create,1,medium_block,9,-5.94,-4.86,3,center,2,middle_third,False,16.23,-0.45,3,center,2,middle_third,False,32.5,47.76,49.67,53.94,41.72,26.89,57.51,37.76
34,2015180,5483,5496,04:52.3,04:53.6,4,52,1.3,1,1,868,left_to_right,Melbourne V FC,1,False,False,False,finish,2,low_block,8,16.16,-0.87,3,center,2,middle_third,False,11.03,-4.24,3,center,2,middle_third,False,47.62,46.94,53.97,54.61,26.9,28.38,37.84,38.77
35,2015180,5496,5529,04:53.6,04:56.9,4,53,3.3,1,1,868,left_to_right,Melbourne V FC,3,False,False,False,create,1,medium_block,9,9.56,-4.8,3,center,2,middle_third,False,20.56,-14.95,4,half_space_right,3,attacking_third,False,46.99,51.91,54.68,54.92,28.6,39.48,38.84,40.81
36,2015180,5529,5540,04:56.9,04:58.0,4,56,1.1,1,1,868,left_to_right,Melbourne V FC,1,True,False,False,finish,2,low_block,8,20.89,-15.03,4,half_space_right,3,attacking_third,False,23.91,-16.88,4,half_space_right,3,attacking_third,False,51.72,48.75,55.1,57.8,39.51,38.0,41.02,43.36
37,2015180,5540,5582,04:58.0,05:02.2,4,58,4.2,1,2,1805,right_to_left,Newcastle,1,True,False,False,chaotic,5,chaotic,5,-24.13,17.27,2,half_space_left,1,defensive_third,False,-5.22,27.41,1,wide_left,2,middle_third,False,37.81,48.0,43.54,50.08,48.34,38.26,58.09,58.0
38,2015180,5582,5671,05:02.2,05:11.1,5,2,8.9,1,1,868,left_to_right,Melbourne V FC,5,True,False,False,create,1,medium_block,9,3.51,-27.06,5,wide_right,2,middle_third,False,5.37,-12.19,4,half_space_right,2,middle_third,False,38.13,50.05,57.9,52.48,48.13,31.86,50.04,46.6
39,2015180,5803,5876,05:24.3,05:31.6,5,24,7.3,1,2,1805,right_to_left,Newcastle,3,False,False,False,build_up,0,high_block,10,-24.34,35.42,1,wide_left,1,defensive_third,False,-20.01,-23.98,5,wide_right,1,defensive_third,False,44.82,59.53,50.66,52.58,33.44,44.15,66.8,56.88
40,2015180,5876,5950,05:31.6,05:39.0,5,31,7.4,1,2,1805,right_to_left,Newcastle,3,True,False,False,create,1,medium_block,9,-19.73,-24.25,5,wide_right,1,defensive_third,False,2.26,-11.73,4,half_space_right,2,middle_third,False,59.61,50.53,52.61,51.16,44.34,31.2,56.56,55.56
41,2015180,5950,6202,05:39.0,06:04.2,5,39,25.2,1,1,868,left_to_right,Melbourne V FC,9,False,False,True,create,1,medium_block,9,-2.13,11.82,2,half_space_left,2,middle_third,False,13.82,-25.97,5,wide_right,2,middle_third,False,30.8,50.44,55.48,57.84,50.31,33.44,51.32,44.03
42,2015180,6202,6361,06:04.2,06:20.1,6,4,15.9,1,1,868,left_to_right,Melbourne V FC,3,False,False,True,finish,2,low_block,8,14.28,-27.04,5,wide_right,2,middle_third,False,5.67,28.04,1,wide_left,2,middle_third,False,50.31,55.19,57.99,56.79,33.77,37.2,43.97,32.26
43,2015180,6361,6448,06:20.1,06:28.8,6,20,8.7,1,1,868,left_to_right,Melbourne V FC,3,False,False,False,create,1,medium_block,9,4.87,27.79,1,wide_left,2,middle_third,False,-19.71,-4.88,3,center,1,defensive_third,False,55.35,59.76,56.64,47.83,37.21,33.42,32.37,50.57
44,2015180,6448,6492,06:28.8,06:33.2,6,28,4.4,1,1,868,left_to_right,Melbourne V FC,1,False,False,False,build_up,0,high_block,10,-20.72,-4.18,3,center,1,defensive_third,False,-21.5,16.52,2,half_space_left,1,defensive_third,False,59.77,55.44,47.54,38.51,33.24,34.17,50.96,67.78
45,2015180,6492,6503,06:33.2,06:34.3,6,33,1.1,1,1,868,left_to_right,Melbourne V FC,0,True,False,False,create,1,medium_block,9,-19.67,17.16,2,half_space_left,1,defensive_third,False,-6.48,21.26,1,wide_left,2,middle_third,False,55.02,48.74,38.55,40.51,34.1,34.14,67.89,67.45
46,2015180,6503,6516,06:34.3,06:35.6,6,34,1.3,1,2,1805,right_to_left,Newcastle,1,True,False,False,chaotic,5,chaotic,5,6.25,-21.22,5,wide_right,2,middle_third,False,13.62,-17.72,4,half_space_right,2,middle_third,False,34.2,34.34,67.34,64.64,48.04,41.49,40.74,42.51
47,2015180,6516,6549,06:35.6,06:38.9,6,35,3.3,1,1,868,left_to_right,Melbourne V FC,2,True,False,False,chaotic,5,chaotic,5,-13.94,17.92,2,half_space_left,2,middle_third,False,-3.9,28.15,1,wide_left,2,middle_third,False,41.22,44.24,42.6,44.39,34.27,34.91,64.32,57.97
48,2015180,6549,6559,06:38.9,06:39.9,6,38,1.0,1,2,1805,right_to_left,Newcastle,1,False,False,False,chaotic,5,chaotic,5,3.63,-28.71,5,wide_right,2,middle_third,False,2.81,-32.58,5,wide_right,2,middle_third,False,35.14,36.96,57.88,57.16,44.24,44.32,44.4,44.55
49,2015180,6641,6697,06:48.1,06:53.7,6,48,5.6,1,2,1805,right_to_left,Newcastle,4,False,False,False,create,1,medium_block,9,12.58,-31.46,5,wide_right,2,middle_third,False,-19.7,-21.48,5,wide_right,1,defensive_third,False,39.42,45.36,59.92,55.56,31.86,32.97,45.11,50.21
50,2015180,6697,6831,06:53.7,07:07.1,6,53,13.4,1,2,1805,right_to_left,Newcastle,6,False,False,False,build_up,0,high_block,10,-20.67,-20.63,5,wide_right,1,defensive_third,False,-20.11,-27.28,5,wide_right,1,defensive_third,False,45.74,57.16,55.47,47.23,32.91,39.01,50.43,57.26
51,2015180,6831,6963,07:07.1,07:20.3,7,7,13.2,1,2,1805,right_to_left,Newcastle,4,False,False,False,create,1,medium_block,9,-19.9,-27.15,5,wide_right,1,defensive_third,False,16.64,30.02,1,wide_left,2,middle_third,False,56.93,47.04,47.14,59.9,38.89,37.46,57.12,47.67
52,2015180,6963,7048,07:20.3,07:28.8,7,20,8.5,1,2,1805,right_to_left,Newcastle,3,True,False,False,finish,2,low_block,8,16.5,29.74,1,wide_left,2,middle_third,False,46.08,-1.83,3,center,3,attacking_third,True,46.66,40.51,60.24,69.17,37.33,38.61,47.63,34.96
53,2015180,7048,7309,07:28.8,07:54.9,7,28,26.1,1,1,868,left_to_right,Melbourne V FC,6,False,False,False,build_up,0,high_block,10,-46.82,0.84,3,center,1,defensive_third,False,-20.52,4.98,3,center,1,defensive_third,False,38.53,57.76,34.75,48.55,40.25,37.57,69.7,65.19
54,2015180,7309,7389,07:54.9,08:02.9,7,54,8.0,1,1,868,left_to_right,Melbourne V FC,2,False,False,False,create,1,medium_block,9,-19.66,6.4,3,center,1,defensive_third,False,13.52,20.66,1,wide_left,2,middle_third,False,57.53,45.32,48.77,62.86,37.54,34.18,65.1,57.14
